skill_slug,skill_ref_examples,expert_count,expert_ids,downloaded_count,local_paths,by_skill_link
3-statement-model,./skills/3-statement-model,1,PitchAgent,2,sources/workbuddy-experts/plugins/model-builder/skills/3-statement-model;sources/workbuddy-experts/plugins/pitch-agent/skills/3-statement-model,catalog/workbuddy_expert_catalog/skills/by-skill/3-statement-model
aesthetic-starter-kits,./skills/aesthetic-starter-kits,1,DesignPrototypeExpert,1,sources/workbuddy-experts/plugins/design-prototype-expert/skills/aesthetic-starter-kits,catalog/workbuddy_expert_catalog/skills/by-skill/aesthetic-starter-kits
ai-career-agent,./skills/ai-career-agent,1,CareerBroker,1,sources/workbuddy-experts/plugins/career-broker/skills/ai-career-agent,catalog/workbuddy_expert_catalog/skills/by-skill/ai-career-agent
ai-content-production,./skills/ai-content-production,1,AiContentCreatorTeam,1,sources/workbuddy-experts/plugins/ai-content-creator-team/skills/ai-content-production,catalog/workbuddy_expert_catalog/skills/by-skill/ai-content-production
ai-research-radar,./skills/ai-research-radar,1,TrendHunter,1,sources/workbuddy-experts/plugins/trend-hunter/skills/ai-research-radar,catalog/workbuddy_expert_catalog/skills/by-skill/ai-research-radar
aigc-compliance-red-team,./skills/aigc-compliance-red-team,1,FbsirAigcComplianceRedTeam,1,sources/workbuddy-experts/plugins/fbsir-aigc-compliance-red-team/skills/aigc-compliance-red-team,catalog/workbuddy_expert_catalog/skills/by-skill/aigc-compliance-red-team
analytics-reporting,./skills/analytics-reporting,1,DataAnalyticsReporter,1,sources/workbuddy-experts/plugins/data-analytics-reporter/skills/analytics-reporting,catalog/workbuddy_expert_catalog/skills/by-skill/analytics-reporting
andonq,./skills/andonq,1,CloudOpsTeam,2,sources/workbuddy-experts/plugins/andon-q-expert/skills/andonq;sources/workbuddy-experts/plugins/cloud-ops-team/skills/andonq,catalog/workbuddy_expert_catalog/skills/by-skill/andonq
anti-distill,./skills/anti-distill,7,BaiduSeoExpert;BookCoCreator;ContentCreator;DouyinStrategist;SalesCoach;SeoExpert;WechatOfficialAccountExpert,10,sources/workbuddy-experts/plugins/baidu-seo-expert/skills/anti-distill;sources/workbuddy-experts/plugins/behavioral-nudge-engine/skills/anti-distill;sources/workbuddy-experts/plugins/book-co-creator/skills/anti-distill;sources/workbuddy-experts/plugins/content-creator/skills/anti-distill;sources/workbuddy-experts/plugins/douyin-strategist/skills/anti-distill;sources/workbuddy-experts/plugins/narrative-designer/skills/anti-distill;sources/workbuddy-experts/plugins/sales-coach/skills/anti-distill;sources/workbuddy-experts/plugins/seo-expert/skills/anti-distill;sources/workbuddy-experts/plugins/short-video-editing-coach/skills/anti-distill;sources/workbuddy-experts/plugins/wechat-official-account-expert/skills/anti-distill,catalog/workbuddy_expert_catalog/skills/by-skill/anti-distill
artifact-renderer,./skills/artifact-renderer,1,IndustrialParkInvestmentAttractionExpert,1,sources/workbuddy-experts/plugins/industrial-park-investment-attraction-expert/skills/artifact-renderer,catalog/workbuddy_expert_catalog/skills/by-skill/artifact-renderer
assessment-quality-expert,./skills/assessment-quality-expert,1,Txzhaopin,1,sources/workbuddy-experts/plugins/txzhaopin/skills/assessment-quality-expert,catalog/workbuddy_expert_catalog/skills/by-skill/assessment-quality-expert
audience-campaign,./skills/audience-campaign,1,AutoConsultant,1,sources/workbuddy-experts/plugins/auto-consultant/skills/audience-campaign,catalog/workbuddy_expert_catalog/skills/by-skill/audience-campaign
audit-xls,./skills/audit-xls,1,PitchAgent,6,sources/workbuddy-experts/plugins/earnings-reviewer/skills/audit-xls;sources/workbuddy-experts/plugins/gl-reconciler/skills/audit-xls;sources/workbuddy-experts/plugins/model-builder/skills/audit-xls;sources/workbuddy-experts/plugins/month-end-closer/skills/audit-xls;sources/workbuddy-experts/plugins/pitch-agent/skills/audit-xls;sources/workbuddy-experts/plugins/statement-auditor/skills/audit-xls,catalog/workbuddy_expert_catalog/skills/by-skill/audit-xls
bidding-strategist,./skills/bidding-strategist,1,BiddingStrategist,1,sources/workbuddy-experts/plugins/bidding-strategist/skills/bidding-strategist,catalog/workbuddy_expert_catalog/skills/by-skill/bidding-strategist
brand-consistency-check,./skills/brand-consistency-check,1,BrandGuardian,1,sources/workbuddy-experts/plugins/brand-guardian/skills/brand-consistency-check,catalog/workbuddy_expert_catalog/skills/by-skill/brand-consistency-check
brand-guidelines,./skills/brand-guidelines,2,AdCreativeStrategist;BrandGuardian,2,sources/workbuddy-experts/plugins/ad-creative-strategist/skills/brand-guidelines;sources/workbuddy-experts/plugins/brand-guardian/skills/brand-guidelines,catalog/workbuddy_expert_catalog/skills/by-skill/brand-guidelines
brand-voice-messaging,./skills/brand-voice-messaging,1,BrandGuardian,1,sources/workbuddy-experts/plugins/brand-guardian/skills/brand-voice-messaging,catalog/workbuddy_expert_catalog/skills/by-skill/brand-voice-messaging
browser-use,./skills/browser-use,3,CrossBorderEcommerceExpert;ProposalStrategist;UiDesigner,9,sources/workbuddy-experts/plugins/cross-border-ecommerce-expert/skills/browser-use;sources/workbuddy-experts/plugins/frontend-developer/skills/browser-use;sources/workbuddy-experts/plugins/proposal-strategist/skills/browser-use;sources/workbuddy-experts/plugins/senior-developer/skills/browser-use;sources/workbuddy-experts/plugins/supply-chain-strategist/skills/browser-use;sources/workbuddy-experts/plugins/trend-researcher/skills/browser-use;sources/workbuddy-experts/plugins/ui-designer/skills/browser-use;sources/workbuddy-experts/plugins/user-experience-architect/skills/browser-use;sources/workbuddy-experts/plugins/user-experience-researcher/skills/browser-use,catalog/workbuddy_expert_catalog/skills/by-skill/browser-use
business-case,./skills/business-case,1,SalesCoach,1,sources/workbuddy-experts/plugins/sales-coach/skills/business-case,catalog/workbuddy_expert_catalog/skills/by-skill/business-case
business-reporting,./skills/business-reporting,1,SmbOperations,1,sources/workbuddy-experts/plugins/smb-operations/skills/business-reporting,catalog/workbuddy_expert_catalog/skills/by-skill/business-reporting
buyer-needs-direction,./skills/buyer-needs-direction,1,AutoConsultant,1,sources/workbuddy-experts/plugins/auto-consultant/skills/buyer-needs-direction,catalog/workbuddy_expert_catalog/skills/by-skill/buyer-needs-direction
call-debrief,./skills/call-debrief,1,SalesCoach,1,sources/workbuddy-experts/plugins/sales-coach/skills/call-debrief,catalog/workbuddy_expert_catalog/skills/by-skill/call-debrief
call-high-deck-generator,./skills/call-high-deck-generator,1,LexiangPptExpert,2,sources/workbuddy-experts/plugins/ppt-creation-expert/skills/call-high-deck-generator,catalog/workbuddy_expert_catalog/skills/by-skill/call-high-deck-generator
campaign-execution,./skills/campaign-execution,1,SmbRevenue,1,sources/workbuddy-experts/plugins/smb-revenue/skills/campaign-execution,catalog/workbuddy_expert_catalog/skills/by-skill/campaign-execution
canvas-design,./skills/canvas-design,1,AiImagePromptEngineer,1,sources/workbuddy-experts/plugins/ai-image-prompt-engineer/skills/canvas-design,catalog/workbuddy_expert_catalog/skills/by-skill/canvas-design
career-broker-core,./skills/career-broker-core,1,CareerBroker,1,sources/workbuddy-experts/plugins/career-broker/skills/career-broker-core,catalog/workbuddy_expert_catalog/skills/by-skill/career-broker-core
career-development-consultant,./skills/career-development-consultant,1,CareerBroker,1,sources/workbuddy-experts/plugins/career-broker/skills/career-development-consultant,catalog/workbuddy_expert_catalog/skills/by-skill/career-development-consultant
career-qa,./skills/career-qa,1,CareerBroker,1,sources/workbuddy-experts/plugins/career-broker/skills/career-qa,catalog/workbuddy_expert_catalog/skills/by-skill/career-qa
case-retrieval,./skills/case-retrieval,1,LegalSearchPro,1,sources/workbuddy-experts/plugins/legal-search-pro/skills/case-retrieval,catalog/workbuddy_expert_catalog/skills/by-skill/case-retrieval
china-compliance-toolkit,./skills/china-compliance-toolkit,1,EnterpriseLegalTeam,1,sources/workbuddy-experts/plugins/enterprise-legal-team/skills/china-compliance-toolkit,catalog/workbuddy_expert_catalog/skills/by-skill/china-compliance-toolkit
china-legal-research,./skills/china-legal-research,1,EnterpriseLegalTeam,1,sources/workbuddy-experts/plugins/enterprise-legal-team/skills/china-legal-research,catalog/workbuddy_expert_catalog/skills/by-skill/china-legal-research
cloud-mapping,./skills/cloud-mapping,1,Cpq,1,sources/workbuddy-experts/plugins/cpq/skills/cloud-mapping,catalog/workbuddy_expert_catalog/skills/by-skill/cloud-mapping
cloud-mapping-intl,./skills/cloud-mapping-intl,1,Cpq,1,sources/workbuddy-experts/plugins/cpq/skills/cloud-mapping-intl,catalog/workbuddy_expert_catalog/skills/by-skill/cloud-mapping-intl
cloudq,./skills/cloudq,2,CloudOpsTeam;IndustrySreTeam,4,sources/workbuddy-experts/plugins/cloud-ops-team/skills/cloudq;sources/workbuddy-experts/plugins/industry-sre-team/skills/cloudq;sources/workbuddy-experts/plugins/multi-cloud-management-expert/skills/cloudq;sources/workbuddy-experts/plugins/tencent-rtc-expert/skills/cloudq,catalog/workbuddy_expert_catalog/skills/by-skill/cloudq--c1903457
command-auth,./skills/command-auth,1,Cpq,1,sources/workbuddy-experts/plugins/cpq/skills/command-auth,catalog/workbuddy_expert_catalog/skills/by-skill/command-auth
competitive-brief,./skills/competitive-brief,1,SalesCoach,1,sources/workbuddy-experts/plugins/sales-coach/skills/competitive-brief,catalog/workbuddy_expert_catalog/skills/by-skill/competitive-brief
competitor-monitoring,./skills/competitor-monitoring,1,TrendHunter,1,sources/workbuddy-experts/plugins/trend-hunter/skills/competitor-monitoring,catalog/workbuddy_expert_catalog/skills/by-skill/competitor-monitoring
comps-analysis,./skills/comps-analysis,1,PitchAgent,4,sources/workbuddy-experts/plugins/financial-analysis/skills/comps-analysis;sources/workbuddy-experts/plugins/market-researcher/skills/comps-analysis;sources/workbuddy-experts/plugins/model-builder/skills/comps-analysis;sources/workbuddy-experts/plugins/pitch-agent/skills/comps-analysis,catalog/workbuddy_expert_catalog/skills/by-skill/comps-analysis
computer-support-playbook,./skills/computer-support-playbook,1,ComputerOperationsAdvisor,1,sources/workbuddy-experts/plugins/computer-operations-advisor/skills/computer-support-playbook,catalog/workbuddy_expert_catalog/skills/by-skill/computer-support-playbook
content-calendar,./skills/content-calendar,1,TrendHunter,1,sources/workbuddy-experts/plugins/trend-hunter/skills/content-calendar,catalog/workbuddy_expert_catalog/skills/by-skill/content-calendar
content-creation-expert-prod,./skills/content-creation-expert-prod,1,ContentCreationExpertProd,1,sources/workbuddy-experts/plugins/content-creation-expert-prod/skills/content-creation-expert-prod,catalog/workbuddy_expert_catalog/skills/by-skill/content-creation-expert-prod
